 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
   11.7056    4.0000   15.5866   15.5636    4.8841    2.1195    3.9246    4.0167  1.0000E-10     -0.2725  1.1008E+01
   11.7080    4.0000   15.5866   15.5615    4.8843    2.1528    3.9079    4.0189  1.0000E-10     -0.2725  9.4752E+00
   11.7102    4.0000   15.5866   15.5595    4.8844    2.1893    3.8897    4.0209  1.0000E-10     -0.2725  8.0465E+00
   11.7121    4.0000   15.5866   15.5575    4.8845    2.2288    3.8700    4.0227  1.0000E-10     -0.2725  6.7427E+00
   11.7139    4.0000   15.5866   15.5556    4.8846    2.2697    3.8496    4.0243  1.0000E-10     -0.2725  5.6147E+00
   11.7154    4.0000   15.5866   15.5538    4.8847    2.3107    3.8291    4.0257  1.0000E-10     -0.2725  4.6750E+00
   11.7168    4.0000   15.5866   15.5520    4.8847    2.3516    3.8086    4.0270  1.0000E-10     -0.2725  3.8913E+00
   11.7181    4.0000   15.5866   15.5503    4.8848    2.3927    3.7881    4.0282  1.0000E-10     -0.2725  3.2369E+00
   11.7193    4.0000   15.5866   15.5485    4.8849    2.4340    3.7675    4.0293  1.0000E-10     -0.2725  2.6898E+00
   11.7205    4.0000   15.5866   15.5467    4.8849    2.4750    3.7470    4.0303  1.0000E-10     -0.2725  2.2375E+00
   11.7215    4.0000   15.5866   15.5449    4.8850    2.5159    3.7265    4.0313  1.0000E-10     -0.2725  1.8607E+00
   11.7225    4.0000   15.5866   15.5431    4.8850    2.5569    3.7061    4.0322  1.0000E-10     -0.2725  1.5467E+00
   11.7234    4.0000   15.5866   15.5412    4.8851    2.5980    3.6856    4.0330  1.0000E-10     -0.2725  1.2853E+00
   11.7243    4.0000   15.5866   15.5393    4.8851    2.6390    3.6651    4.0338  1.0000E-10     -0.2725  1.0676E+00
   11.7252    4.0000   15.5866   15.5373    4.8852    2.6801    3.6445    4.0346  5.3269E-04     -0.2725  8.7276E-01
   11.7260    4.0000   15.5866   15.5352    4.8852    2.7211    3.6241    4.0354  6.2802E-02     -0.2725  5.7754E-01
   11.7268    4.0000   15.5866   15.5331    4.8853    2.7622    3.6035    4.0361  7.6208E-01     -0.2725  2.7288E-01
   11.7276    4.0000   15.5866   15.5308    4.8853    2.8034    3.5829    4.0368  4.2845E+00     -0.2725  1.1221E-01
   11.7406    4.0000   15.5866   15.4894    4.8860    2.8289    3.5703    4.0487  9.7421E+00     -0.2725  6.4551E-02
   11.7537    4.0000   15.5866   15.4458    4.8867    2.8298    3.5700    4.0607  9.6681E+00     -0.2725  6.3090E-02
   11.7668    4.0000   15.5866   15.4021    4.8874    2.8308    3.5697    4.0726  9.5940E+00     -0.2725  6.1649E-02
   11.7798    4.0000   15.5866   15.3582    4.8881    2.8318    3.5694    4.0846  9.5200E+00     -0.2725  6.0229E-02
   11.7929    4.0000   15.5866   15.3142    4.8888    2.8328    3.5691    4.0965  9.4458E+00     -0.2725  5.8830E-02
   11.8060    4.0000   15.5866   15.2701    4.8895    2.8338    3.5687    4.1084  9.3716E+00     -0.2725  5.7450E-02
   11.8191    4.0000   15.5866   15.2258    4.8902    2.8348    3.5684    4.1204  9.2974E+00     -0.2725  5.6091E-02
   11.8321    4.0000   15.5866   15.1813    4.8909    2.8358    3.5681    4.1323  9.2231E+00     -0.2725  5.4752E-02
   11.8452    4.0000   15.5866   15.1367    4.8916    2.8368    3.5678    4.1443  9.1487E+00     -0.2725  5.3434E-02
   11.8583    4.0000   15.5866   15.0919    4.8923    2.8379    3.5674    4.1562  9.0743E+00     -0.2725  5.2135E-02
   11.8714    4.0000   15.5866   15.0470    4.8930    2.8389    3.5671    4.1682  8.9999E+00     -0.2725  5.0856E-02
   11.8844    4.0000   15.5866   15.0020    4.8937    2.8399    3.5668    4.1801  8.9254E+00     -0.2725  4.9597E-02
   11.8975    4.0000   15.5866   14.9567    4.8944    2.8409    3.5664    4.1921  8.8509E+00     -0.2725  4.8358E-02
   11.9106    4.0000   15.5866   14.9114    4.8951    2.8419    3.5661    4.2040  8.7764E+00     -0.2725  4.7138E-02
   11.9236    4.0000   15.5866   14.8658    4.8958    2.8429    3.5658    4.2160  8.7018E+00     -0.2725  4.5938E-02
   11.9367    4.0000   15.5866   14.8201    4.8965    2.8440    3.5654    4.2279  8.6272E+00     -0.2725  4.4758E-02
   11.9498    4.0000   15.5866   14.7743    4.8972    2.8450    3.5651    4.2398  8.5525E+00     -0.2725  4.3597E-02
   11.9629    4.0000   15.5866   14.7283    4.8979    2.8460    3.5647    4.2518  8.4778E+00     -0.2725  4.2456E-02
   11.9759    4.0000   15.5866   14.6821    4.8986    2.8471    3.5644    4.2637  8.4030E+00     -0.2725  4.1333E-02
   11.9890    4.0000   15.5866   14.6358    4.8993    2.8481    3.5640    4.2757  8.3283E+00     -0.2725  4.0230E-02
   12.0021    4.0000   15.5866   14.5893    4.9000    2.8492    3.5637    4.2876  8.2535E+00     -0.2725  3.9146E-02
   12.0152    4.0000   15.5866   14.5427    4.9007    2.8502    3.5634    4.2996  8.1786E+00     -0.2725  3.8080E-02
   12.0282    4.0000   15.5866   14.4959    4.9014    2.8513    3.5630    4.3115  8.1038E+00     -0.2725  3.7034E-02
   12.0413    4.0000   15.5866   14.4489    4.9022    2.8523    3.5627    4.3235  8.0289E+00     -0.2725  3.6006E-02
   12.0544    4.0000   15.5866   14.4018    4.9029    2.8534    3.5623    4.3354  7.9540E+00     -0.2725  3.4997E-02
   12.0674    4.0000   15.5866   14.3545    4.9036    2.8544    3.5619    4.3473  7.8790E+00     -0.2725  3.4006E-02
   12.0805    4.0000   15.5866   14.3070    4.9043    2.8555    3.5616    4.3593  7.8041E+00     -0.2725  3.3034E-02
   12.0936    4.0000   15.5866   14.2594    4.9050    2.8566    3.5612    4.3712  7.7291E+00     -0.2725  3.2079E-02
   12.1067    4.0000   15.5866   14.2116    4.9057    2.8576    3.5609    4.3832  7.6541E+00     -0.2725  3.1143E-02
   12.1197    4.0000   15.5866   14.1637    4.9064    2.8587    3.5605    4.3951  7.5791E+00     -0.2725  3.0225E-02
   12.1328    4.0000   15.5866   14.1156    4.9071    2.8598    3.5602    4.4071  7.5040E+00     -0.2725  2.9325E-02
   12.1459    4.0000   15.5866   14.0673    4.9078    2.8608    3.5598    4.4190  7.4290E+00     -0.2725  2.8442E-02
